year,month,state,num_visits,num_unique_visitors
2020,2,ALL_STATES,1044548923,46843490
2020,2,ab,95,25
2020,2,ak,1185654,82074
2020,2,al,24366379,1066268
2020,2,ar,12366132,622915
2020,2,as,125,81
2020,2,az,22037030,1191379
2020,2,bc,336,160
2020,2,ca,101321919,4796710
2020,2,co,16404318,985284
2020,2,ct,8458050,584951
2020,2,dc,2922057,510788
2020,2,de,2676777,234841
2020,2,fl,88893534,4362084
2020,2,ga,42488596,2020414
2020,2,gu,32613,6503
2020,2,hi,4901104,213727
2020,2,ia,11170710,671150
2020,2,id,4194342,273713
2020,2,il,39618505,2308206
2020,2,in,21573122,1283745
2020,2,ks,10580167,603431
2020,2,ky,14477703,855163
2020,2,la,18870276,957309
2020,2,ma,14839453,1062710
2020,2,md,15989306,1030751
2020,2,me,2311113,161373
2020,2,mi,27562481,1630707
2020,2,mn,15457246,987386
2020,2,mo,23498703,1296708
2020,2,mp,21,12
2020,2,ms,12706022,644257
2020,2,mt,2209833,157868
2020,2,nb,13,10
2020,2,nc,34749154,1858828
2020,2,nd,2293240,153158
2020,2,ne,7172291,421348
2020,2,nh,3185108,248231
2020,2,nj,25943382,1585635
2020,2,nm,4550927,380447
2020,2,ns,40,19
2020,2,nv,11928194,757366
2020,2,ny,51071504,3400549
2020,2,oh,37088359,2091085
2020,2,ok,16385286,830490
2020,2,on,48,31
2020,2,or,10189407,587993
2020,2,pa,33884058,2248324
2020,2,pr,2200716,280776
2020,2,qc,183,64
2020,2,ri,2488925,211582
2020,2,sc,18894957,1016598
2020,2,sd,2399105,162320
2020,2,tn,26501782,1442406
2020,2,tx,117160722,5131961
2020,2,ut,8412829,521825
2020,2,va,24966885,1446830
2020,2,vi,5573,1499
2020,2,vt,1099562,107713
2020,2,wa,17452160,1045106
2020,2,wi,15256610,945212
2020,2,wv,4818721,350774
2020,2,wy,1335460,114326
